,Unnamed: 0,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0.1,Verifier,instance,solved_bool,solved,score
1341,9145,,cifar,0.012,N17,CIFAR_P54_N17,sat,565.1402,745.0,babsb,CIFAR_P54_N17 N17 0.012,True,1,1
1344,9149,,cifar,0.012,N34,CIFAR_P62_N34,sat,2076.0429,749.0,babsb,CIFAR_P62_N34 N34 0.012,True,1,1
1347,9154,,cifar,0.012,N32,CIFAR_P0_N32,sat,1561.3591,754.0,babsb,CIFAR_P0_N32 N32 0.012,True,1,1
1352,9174,,cifar,0.012,N34,CIFAR_P92_N34,sat,2255.2811,774.0,babsb,CIFAR_P92_N34 N34 0.012,True,1,1
1355,9222,,cifar,0.012,N42,CIFAR_P83_N42,sat,590.068,822.0,babsb,CIFAR_P83_N42 N42 0.012,True,1,1
1356,9223,,cifar,0.012,N17,CIFAR_P8_N17,sat,541.179,823.0,babsb,CIFAR_P8_N17 N17 0.012,True,1,1
1359,9278,,cifar,0.012,N17,CIFAR_P55_N17,sat,546.4889,878.0,babsb,CIFAR_P55_N17 N17 0.012,True,1,1
1361,9281,,cifar,0.012,N18,CIFAR_P29_N18,sat,2161.0388,881.0,babsb,CIFAR_P29_N18 N18 0.012,True,1,1
1366,9291,,cifar,0.012,N42,CIFAR_P34_N42,sat,573.9029,891.0,babsb,CIFAR_P34_N42 N42 0.012,True,1,1
1369,9302,,cifar,0.012,N32,CIFAR_P1_N32,sat,1599.4745,902.0,babsb,CIFAR_P1_N32 N32 0.012,True,1,1
1374,9267,,cifar,0.012,N13,CIFAR_P90_N13,sat,1523.7661,867.0,babsb,CIFAR_P90_N13 N13 0.012,True,1,1
1384,9244,,cifar,0.012,N42,CIFAR_P66_N42,sat,567.7099,844.0,babsb,CIFAR_P66_N42 N42 0.012,True,1,1
1386,9250,,cifar,0.012,N18,CIFAR_P88_N18,sat,2343.1789,850.0,babsb,CIFAR_P88_N18 N18 0.012,True,1,1
1389,9263,,cifar,0.012,N32,CIFAR_P41_N32,sat,1453.624,863.0,babsb,CIFAR_P41_N32 N32 0.012,True,1,1
1392,9495,,cifar,0.012,N32,CIFAR_P66_N32,sat,1547.925,1095.0,babsb,CIFAR_P66_N32 N32 0.012,True,1,1
1395,9801,,cifar,0.012,N18,CIFAR_P87_N18,sat,2469.0795,1401.0,babsb,CIFAR_P87_N18 N18 0.012,True,1,1
1401,9798,,cifar,0.012,N42,CIFAR_P42_N42,sat,593.5063,1398.0,babsb,CIFAR_P42_N42 N42 0.012,True,1,1
1402,9799,,cifar,0.012,N18,CIFAR_P51_N18,sat,2151.2596,1399.0,babsb,CIFAR_P51_N18 N18 0.012,True,1,1
1403,9802,,cifar,0.012,N18,CIFAR_P13_N18,sat,2375.6329,1402.0,babsb,CIFAR_P13_N18 N18 0.012,True,1,1
1413,9785,,cifar,0.012,N18,CIFAR_P79_N18,sat,2062.5388,1385.0,babsb,CIFAR_P79_N18 N18 0.012,True,1,1
1415,9775,,cifar,0.012,N42,CIFAR_P13_N42,sat,548.3518,1375.0,babsb,CIFAR_P13_N42 N42 0.012,True,1,1
1419,9740,,cifar,0.012,N34,CIFAR_P1_N34,sat,2401.8704,1340.0,babsb,CIFAR_P1_N34 N34 0.012,True,1,1
1422,9751,,cifar,0.012,N17,CIFAR_P66_N17,sat,535.1798,1351.0,babsb,CIFAR_P66_N17 N17 0.012,True,1,1
1433,9502,,cifar,0.012,N34,CIFAR_P14_N34,sat,2296.1286,1102.0,babsb,CIFAR_P14_N34 N34 0.012,True,1,1
1436,9880,,cifar,0.012,N34,CIFAR_P60_N34,sat,1942.6029,1480.0,babsb,CIFAR_P60_N34 N34 0.012,True,1,1
1437,9882,,cifar,0.012,N13,CIFAR_P64_N13,sat,1525.6498,1482.0,babsb,CIFAR_P64_N13 N13 0.012,True,1,1
1440,9886,,cifar,0.012,N34,CIFAR_P79_N34,sat,2047.8354,1486.0,babsb,CIFAR_P79_N34 N34 0.012,True,1,1
1442,9893,,cifar,0.012,N32,CIFAR_P88_N32,sat,1533.452,1493.0,babsb,CIFAR_P88_N32 N32 0.012,True,1,1
1448,9913,,cifar,0.012,N32,CIFAR_P11_N32,sat,1521.6062,1513.0,babsb,CIFAR_P11_N32 N32 0.012,True,1,1
1462,9861,,cifar,0.012,N42,CIFAR_P11_N42,sat,601.521,1461.0,babsb,CIFAR_P11_N42 N42 0.012,True,1,1
1463,9862,,cifar,0.012,N17,CIFAR_P71_N17,sat,566.7299,1462.0,babsb,CIFAR_P71_N17 N17 0.012,True,1,1
1468,9868,,cifar,0.012,N13,CIFAR_P56_N13,sat,1577.1051,1468.0,babsb,CIFAR_P56_N13 N13 0.012,True,1,1
1469,9869,,cifar,0.012,N13,CIFAR_P54_N13,sat,1522.3166,1469.0,babsb,CIFAR_P54_N13 N13 0.012,True,1,1
